,word,meaning,pos
351,अंत+कर,complete,verb
352,अंत+का,complete,verb
353,अंत+में,at last,adv
354,अंत+में,finally,adv
355,अंत+ले,plumb  mind,verb
356,अंत+ले,worry,verb
357,अंत+ले,harass,verb
358,अंत+का,plumb  mind,verb
359,अंत+का,worry,verb
360,अंत+का,harass,verb
361,अंत+समय,at the hour of death,adv
362,अंत+हो+जा,be completed,verb
363,अंत+हो+जा,die out,verb
364,अंत+हो+जा,die,verb
365,अंत-कर्म,death,noun
366,अंत-कर्म,destruction,noun
367,अंत-कर्म,funeral rites,noun
368,अंतकारी,causing death,adj
369,अंतकारी,or destruction,adj
370,अंत-काल,time of death,noun
371,अंत-गति,decease,noun
372,अंत-गति,death,noun
373,अंतज,last born,adj
374,अंततोगत्वा,in the last resort,adv
375,अंताक्षरी,game of forming words,noun
376,अँतड़ी+अँतड़ियाँ+टटोल,feel the stomach,verb
377,अँतड़ी+अँतड़ियाँ+टटोल,sound out,verb
378,अँतड़ी+अँतड़ियाँ+टटोलना,about an obscure matter,noun
379,अँतड़ी+की,feel the stomach,verb
380,अँतड़ी+की,sound out,verb
381,अँतड़ी+की,about an obscure matter,noun
382,अँतड़ी+अँतड़ियाँ+जल,suffer pangs of hunger,verb
383,अँतड़ी+अँतड़ियों+का,undo twist in the entrails: to eat one's fill after starving,verb
384,अँतड़ी+के,undo twist in the entrails: to eat one's fill after starving,verb
385,अँतड़ी+बल+खोल,undo twist in the entrails: to eat one's fill after starving,verb
386,अँतड़ी+अँतड़ियों+में+बल+आ,have a stomachache,verb
387,अँतड़ी+पड़,have a stomachache,verb
388,अँतड़ी+गले+में+पड़,fig to suffer distress at some calamity,verb
389,अंतर्-+अंतरंग,internal,adj
390,अंतर्-+अंतरंग,inner,adj
391,अंतर्-+अंतरंग,close,adj
392,अंतर्-+अंतरंग,intimate,adj
393,अंतर्-+अंतरंग,or associate,adj
394,अंतर्-+अंतरंग,subsidiary,adj
395,अंतर्-+अंतरंग,heart,adj
396,अंतर्-+अंतरंग,relative,adj
397,अंतर्-+अंतरंग,intimate friend,adj
398,अंतर्-+अंतरात्मा,inner soul,noun
399,अंतर्-+अंतरात्मा,spirit,noun
400,अंतर्-+अंतरायण,internment,noun
401,अंतर्-+अंतरायण,house arrest,noun
402,अंतर्-+अंतराल,interval,adj
403,अंतर्-+अंतराल,interior,adj
404,अंतर्-+अंतराल,internal,adj
405,अंतर्-+अंतराल,central,adj
406,अंतर्-+अंतरीप,island,noun
407,अंतर्-+अंतरीप,promontory,noun
408,अंतर्-+अंतरीप,cape,noun
409,अंतर्-+अंतरीप,peninsula,noun
410,अंतर्-+अंतर्गत,internal,adj
411,अंतर्-+अंतर्गत,innermost,adj
412,अंतर्-+अंतर्गत,hidden,adj
413,अंतर्-+अंतर्गत,included,adj
414,अंतर्-+अंतर्गत,ppn,adj
415,अंतर्-+अंतर्गत˚गति,mental,noun
416,अंतर्-+अंतर्गत˚गति,or emotional,noun
417,अंतर्-+अंतर्गत˚गति,state or process,noun
418,अंतर्-+अंतर्ग्रस्त,involved,adj
419,अंतर्-+अंतर्ग्रस्त,concerned,adj
420,अंतर्-+अंतर्जात,innate,adj
421,अंतर्-+अंतर्जात,endogamous,adj
422,अंतर्-+अंतर्जात˚ईय,international,adj
423,अंतर्-+अंतर्जात˚ईय,intercaste,adj
424,अंतर्-+अंतर्ज्ञान,intuition,noun
425,अंतर्-+अंतर्ज्वाला,fire within: grief,noun
426,अंतर्-+अंतर्ज्वाला,remorse,noun
427,अंतर्-+अंतर्दर्शी,of perceptive vision or understanding,adj
428,अंतर्-+अंतर्दर्शी,introspective,adj
429,अंतर्-+अंतर्दाह,inner pangs,noun
430,अंतर्-+अंतर्दाह,remorse,noun
431,अंतर्-+अंतर्दाह,heat,noun
432,अंतर्-+अंतर्दृष्टि,perceptive vision,noun
433,अंतर्-+अंतर्दृष्टि,subtle understanding,noun
434,अंतर्-+अंतर्देशीय,inland,adj
435,अंतर्-+अंतर्देशीय,internal,adj
436,अंतर्-+अंतर्देशीय,domestic,adj
437,अंतर्-+अंतर्द्वंद्व,inner conflict,noun
438,अंतर्-+अंतर्द्वंद्व,internal conflict,noun
439,अंतर्-+अंतर्द्वंद्व,state,noun
440,अंतर्-+अंतर्द्वार,inner door,noun
441,अंतर्-+अंतर्द्वार,private or secret door,noun
442,अंतर्-+अंतर्धान,disappearance,adj
443,अंतर्-+अंतर्धान,concealment,adj
444,अंतर्-+अंतर्धान,disappeared,adj
445,अंतर्-+अंतर्धान,secret,adj
446,अंतर्-+अंतर्ध्यान,sunk in thought,adj
447,अंतर्-+अंतर्ध्वस,sabotage,noun
448,अंतर्-+अंतर्ध्वस,internal damage,noun
449,अंतर्-+अंतर्नाद,mystic sound expressing the longing of the soul,noun
