	Unnamed: 0	word	meaning	pos
377	761	अंतर्-+अंतर्ध्वस_1	sabotage_1	noun
378	765	अंतर्-+अंतर्निष्ठ_1	proper_1	noun
379	766	अंतर्-+अंतर्निविष्ट_1	permeated_1	adj
380	768	अंतर्-+अंतर्निहित_1	engulfed_1	adj
381	769	अंतर्-+अंतर्निहित_2	hidden_2	adj
382	770	अंतर्-+अंतर्पट_1	covering_1	noun
383	771	अंतर्-+अंतर्पट_2	screen_1	noun
384	772	अंतर्-+अंतर्पट_3	curtain_1	noun
385	773	अंतर्-+अंतर्पत्रण_1	interleaving_1	noun
386	775	अंतर्-+अंतर्बोध_1	intuition_2	noun
387	776	अंतर्-+अंतर्भाव_1	inclusion_1	noun
388	777	अंतर्-+अंतर्भाव_2	absorption_1	noun
389	781	अंतर्-+अंतर्भाव˚ना˚भावित_1	included_2	adj
390	782	अंतर्-+अंतर्भाव˚ना˚भावित_2	assimilated_2	adj
391	784	अंतर्-+अंतर्भुक्त_1	1_2	adj
392	786	अंतर्-+अंतर्भूत_1	included_3	adj
393	787	अंतर्-+अंतर्भूत_2	internal_7	adj
394	788	अंतर्-+अंतर्भेदी_1	penetrating_1	adj
395	791	अंतर्-+अंतर्मन˚मनन_1	cogitation_1	noun
396	792	अंतर्-+अंतर्मन˚मनन˚मना_1	preoccupied_1	adj
397	793	अंतर्-+अंतर्मन˚मनन˚मना_2	dejected_1	adj
398	795	अंतर्-+अंतर्मुख_1	introspective_2	adj
399	800	अंतर्-+अंतर्राज्यिक_1	interstate_1	adj
400	801	अंतर्-+अंतर्राज्यिक˚राज्यीय_1	interstate_2	adj
401	802	अंतर्-+अंतर्राज्यिक˚राज्यीय_2	international_2	adj
402	803	अंतर्-+अंतर्राराष्ट्रीय_1	international_3	adj
403	804	अंतर्-+अंतर्लपिका_1	riddle_1	noun
404	806	अंतर्-+अंतर्वर्ती_1	inner_3	adj
405	807	अंतर्-+अंतर्वर्ती_2	internal_8	adj
406	808	अंतर्-+अंतर्वर्ती_3	included_4	adj
407	809	अंतर्-+अंतर्वर्ती_4	intermediate_2	adj
408	810	अंतर्-+अंतर्वर्ती˚वर्तीय_1	temporary_2	adj
409	811	अंतर्-+अंतर्वर्ती˚वर्तीय_2	provisional_2	adj
410	812	अंतर्-+अंतर्वस्तु_1	contents_1	noun
411	813	अंतर्-+अंतर्वस्तु_2	substance_1	noun
412	814	अंतर्-+अंतर्वासन_1	internment_2	noun
413	815	अंतर्-+अंतर्वासन˚-वासित_1	interned_1	adj
414	817	अंतर्-+अंतर्विकास_1	evolution_1	noun
415	824	अंतर्-+अंतर्वेशन_1	interpolation_1	noun
416	825	अंतर्-+अंतर्वेशन˚-वेशित_1	interpolated_1	adj
417	827	अंतर्-+अंतर्व्यापी_1	inner_4	adj
418	828	अंतर्-+अंतर्हित_1	disappeared_2	adj
419	829	अंतर्-+अंतर्हित_2	concealed_1	adj
420	830	अंतर्-+अंतर्हित_3	secret_2	adj
421	832	अंतर_9	middle_1	noun
422	833	अंतर_10	midst_1	noun
423	834	अंतर_11	soul_3	noun
424	835	अंतर_12	mind_3	noun
425	837	अंतर_13	mystery_1	noun
426	838	अंतर_14	secret_3	noun
427	839	अंतर_15	property_1	noun
428	840	अंतर_16	peculiarity_1	noun
429	843	अंतर_17	separation_1	noun
430	844	अंतर_18	gap_1	noun
431	845	अंतर_19	period_1	noun
432	846	अंतर_20	pause_1	noun
433	847	अंतर_21	stop_1	noun
434	849	अंतर_22	distinction_1	noun
435	851	अंतर+कर_1	separate_1	verb
436	852	अंतर+कर_2	remove_1	verb
437	853	अंतर+कर_3	conceal_1	verb
438	855	अंतरतम_1	nearest_1	adj
439	856	अंतरतम_2	intimate_2	adj
440	858	अंतरपट_1	curtain_2	noun
441	859	अंतरपट_2	screen_2	noun
442	863	अंतरविरोध_1	antagonism_1	noun
443	864	अंतरस्थ_1	internal_9	adj
444	865	अंतरावरोध_1	interception_1	noun
445	866	अंतरावरोध˚इत_1	intercepted_1	adj
446	867	अंतरोन्मुख_1	introspective_3	adj
447	869	अंतरण_6	displacement_1	noun
448	870	अंतरण_7	transference_1	noun
449	872	अंतरण_8	transfer_1	verb
450	876	अंतरा_1	intermediate_3	adj
451	877	अंतरा_2	intermittent_1	adj
452	878	अंतरा_3	adv_1	adj
453	886	अंतरिक्ष_3	cosmos_1	adj
454	888	अंतरिक्ष_4	heavens_1	adj
455	889	अंतरिक्ष_5	transinvisible_1	adj
456	890	अंतरिक्ष_6	vanished_1	adj
457	891	अंतरिक्ष-मंडल_1	universe_1	noun
458	892	अंतरिक्ष-यात्री_1	astronaut_1	noun
459	893	अंतरिक्ष-यान_1	spacecraft_1	noun
460	894	अंतरिक्ष-विज्ञान_1	meteorology_1	noun
461	895	अंतरिक्ष-विज्ञान˚-वैज्ञानिक_1	meteorologist_1	noun
462	896	अंतरित_1	interior_3	adj
463	897	अंतरित_2	hidden_3	adj
464	898	अंतरित_3	shifted_1	adj
465	899	अंतरित_4	transferred_1	adj
466	900	अंतरिम_1	interim_1	adj
467	902	अंतरीय_1	internal_10	adj
468	903	अंतरीय_2	undergarment_1	adj
469	905	अँतरौटा_1	petticoat_1	noun
470	906	अंतश्-_1	preinner_1	noun
471	909	अंतस्-_1	preinner_2	noun
472	910	अंतस्-+अंतस्तप्त_1	heated_1	adj
473	912	अंतस्-+अंतस्तल_1	depth_1	noun
474	913	अंतस्-+अंतस्तल_2	base_1	noun
475	915	अंतस्-+अंतस्तल_3	soul_4	noun
476	916	अंतस्-+अंतस्तल˚ई_1	deepseated_1	adj
477	917	अंतस्-+अंतस्तल˚ई_2	inner_5	adj
478	923	अंतिक_1	near_1	adj
479	924	अंतिक_2	neighbour_1	adj
480	928	अंते_1	elsewhere_1	adv
481	930	अंत्य_4	last_1	adj
482	932	अंत्य_5	lowest_1	adj
483	933	अंत्य_6	state_2	adj
484	937	अंत्यज_1	untouchable_1	adj
485	943	अंत्र_1	intestines_1	noun
486	949	अंदर_6	under_1	noun
487	954	अंदर+कर_1	insert_1	verb
488	955	अंदर+का_1	inner_6	adj
489	956	अंदर+का_2	internal_11	adj
490	957	अंदर+का_3	hidden_4	adj
491	958	अंदर+का_4	secret_4	adj
492	959	अंदरून_1	interior_4	noun
493	961	अंदरुनी_1	interior_5	noun
494	962	अंदरुनी_2	internal_12	noun
495	963	अंदरुनी_3	intrinsic_1	noun
496	964	अंदरुनी_4	spiritual_1	noun
497	966	अंदाज़_1	conjecture_1	noun
498	967	अंदाज़_2	guess_1	noun
499	968	अंदाज़_3	manner_1	noun
500	969	अंदाज़_4	style_1	noun
501	970	अंदाज़_5	gait_1	noun
502	971	अंदाज़_6	gestures_1	noun
503	972	अंदाज़_7	affectation_1	noun
504	973	अंदाज़+कर_1	estimate_1	verb
505	974	अंदाज़+कर_2	evaluate_1	verb
506	975	अंदाज़+कर_3	conjecture_2	verb
507	976	अंदाज़+लगा_1	estimate_2	verb
508	977	अंदाज़+लगा_2	evaluate_2	verb
509	978	अंदाज़+लगा_3	conjecture_3	verb
510	979	अंदाज़+का_1	estimate_3	verb
511	980	अंदाज़+का_2	evaluate_3	verb
512	981	अंदाज़+का_3	conjecture_4	verb
513	982	अंदाज़+उड़ा_1	imitate_1	verb
514	983	अंदाज़+उड़ा_2	mimic_1	verb
515	984	अंदाज़+से_1	approximately_1	adv
516	986	अंदाज़-पट्टी_1	f_2	noun
517	987	अंदाज़-पीटी_1	f_3	noun
518	988	अंदाज़न_1	approximately_2	adv
519	991	अंदेशा_4	consideration_1	noun
520	992	अंदेशा_5	reflection_1	noun
521	994	अंदेशा_6	concern_1	noun
522	996	अंदेशा_7	apprehension_1	noun
523	997	अंदेशा_8	uncertainty_1	noun
524	1000	अंदेशा+करना_1	about_1	noun
525	1001	अंदेशामंद_1	anxious_1	adj
526	1002	अंदेशामंद_2	concerned_2	noun
527	1003	अंदोह_1	grief_1	noun
528	1004	अंदोह_2	anxiety_1	noun
529	1005	अंदोह_3	trouble_1	noun
530	1006	अंध_1	blind_1	adj
531	1007	अंध_2	benighted_1	adj
532	1008	अंध_3	ignorant_1	adj
533	1011	अंध_4	darkness_1	adj
534	1012	अंधकार_3	see_2	noun
535	1013	अंध-कूप_1	overgrown_1	noun
536	1017	अंध-कूप_2	blackout_1	noun
537	1018	अंध-कूप˚ता_1	benightedness_1	noun
538	1019	अंध-खोपड़ी_1	blockheaded_1	adj
539	1024	अंध-भक्त_1	fanatic_1	noun
540	1026	अंध-प्रज्ञा_1	intuition_3	noun
541	1027	अंध-विश्वास_1	superstition_1	noun
542	1028	अंध-विश्वास˚ई_1	superstitious_1	adj
543	1031	अंधकार_4	benightedness_2	noun
544	1032	अंधकारमय_1	dark_1	adj
545	1035	अंधता_1	blindness_1	noun
546	1036	अंधता_2	benightedness_3	noun
547	1037	अंधता_3	folly_1	noun
548	1038	अँधला_1	reg_2	adj
549	1040	अंधा_6	benighted_2	noun
550	1041	अंधा_7	foolish_1	noun
551	1042	अंधा_8	hoodwinked_1	noun
552	1043	अंधा_9	deceived_1	noun
553	1044	अंधा_10	dim_1	noun
554	1045	अंधा_11	room_1	noun
555	1050	अंधा+कर_1	blind_2	verb
556	1051	अंधा+कर_2	blindfold_1	verb
557	1052	अंधा+कर_3	trick_1	verb
558	1053	अंधा+कर_4	deceive_1	verb
559	1057	अंधा+दरबार_1	misgovernment_1	noun
560	1063	अंधा+हो_1	connive_1	verb
561	1067	अंधा-कुप्प_1	pitchblack_1	adj
562	1068	अंधा-कुप्प_2	blackout_2	adj
563	1069	अंधा-धुंध_1	excessive_1	adj
564	1070	अंधा-धुंध_2	unbridled_1	adj
565	1071	अंधा-धुंध_3	violent_1	adj
566	1072	अंधा-धुंध_4	wild_1	adj
567	1073	अंधा-धुंध_5	headlong_1	adj
568	1074	अंधा-धुंध_6	rash_1	adj
569	1077	अंधा-धुंध_7	rashness_1	adj
570	1078	अंधा-धुंध_8	violence_1	adj
571	1079	अंधा-धुंध_9	commotion_1	adj
572	1081	अंधाधुंधजमा_1	belabour_1	verb
573	1083	अंधा+पर_1	belabour_2	verb
574	1088	अंधापन_4	benightedness_4	noun
575	1090	अंधापन_5	darkness_2	noun
576	1091	अंधापन_6	dimness_1	noun
577	1094	अँधियारी_1	darkness_3	noun
578	1095	अँधियारी_2	storm_1	noun
579	1097	अँधियाव_1	reg_3	noun
